LAD21CD,LAD21NM,estimate,r2,std.error,fast
E06000001,Hartlepool,NA,NA,NA,NA
E06000002,Middlesbrough,2010.074229931526,0.9004055993358686,5.296502106219764,slow
E06000003,Redcar and Cleveland,2002.7499400865963,0.9293224865673156,0.5086457716982516,fast
E06000004,Stockton-on-Tees,2003.902221429084,0.9156192749323548,0.954646106324161,slow
E06000005,Darlington,2002.9329975903554,0.9286499015447925,0.6149432073181629,fast
E06000006,Halton,2007.0690547321244,0.9668676600593762,0.9315114702570382,slow
E06000007,Warrington,2006.0153864729493,0.9421968182618684,1.387379251991427,slow
E06000008,Blackburn with Darwen,2003.6845015130632,0.9381526435398296,0.6796977624333247,slow
E06000009,Blackpool,2002.4429323512243,0.9624433623531461,0.2942992931668857,fast
E06000010,"Kingston upon Hull, City of",2003.8845008934663,0.9356169350361174,0.7571269522657248,slow
E06000011,East Riding of Yorkshire,2004.6827780608107,0.9546624253969996,0.7276033628585005,slow
E06000012,North East Lincolnshire,2003.8113320087332,0.9199019568098644,0.857797882847648,slow
E06000013,North Lincolnshire,2002.596029393355,0.93335092623253,0.5005746583608013,fast
E06000014,York,2004.024856029793,0.9440032596354325,0.7391274396458689,slow
E06000015,Derby,2003.674276686968,0.9420087731758098,0.618405697351048,slow
E06000016,Leicester,2003.1672666793086,0.9238077626109809,0.6861945378697456,slow
E06000017,Rutland,2006.5287026312953,0.9672120628502588,0.9857289822468609,slow
E06000018,Nottingham,2002.630044973418,0.9356732394310666,0.5314527398575504,fast
E06000019,"Herefordshire, County of",2002.6224406153883,0.9557400430935913,0.38779697438215616,fast
E06000020,Telford and Wrekin,2004.2412088339422,0.916919901742235,1.023548919400743,slow
E06000021,Stoke-on-Trent,2002.2027665604828,0.9267235345053815,0.4190974012855838,fast
E06000022,Bath and North East Somerset,2002.2382243458294,0.9408846416047513,0.4022741250169334,fast
E06000023,"Bristol, City of",2003.8282267117147,0.9279936538011864,0.8307654369542902,slow
E06000024,North Somerset,2003.2782447998836,0.9388974272410995,0.5577876297338223,slow
E06000025,South Gloucestershire,2004.4992110964834,0.9368895655801727,0.8805577435847285,slow
E06000026,Plymouth,2004.251620735863,0.9340714200569796,0.784830899337954,slow
E06000027,Torbay,2002.2151275836572,0.9420359866110476,0.37418635469562234,fast
E06000030,Swindon,2001.9957574206683,0.915811202847972,0.38987461477309804,fast
E06000031,Peterborough,2004.3817296263976,0.9322008719068657,0.9373249375889513,slow
E06000032,Luton,NA,NA,NA,NA
E06000033,Southend-on-Sea,2002.9027607421751,0.931733377071093,0.5510374898980078,fast
E06000034,Thurrock,2004.2411258849604,0.9239871335680641,0.8410475469007287,slow
E06000035,Medway,NA,NA,NA,NA
E06000036,Bracknell Forest,2001.5859271974089,0.9278412713471555,0.3242018290388276,fast
E06000037,West Berkshire,2002.5953896777844,0.9019747844428972,0.6957805693086443,fast
E06000038,Reading,2001.9002894361786,0.9481143893421884,0.31789463721359007,fast
E06000039,Slough,NA,NA,NA,NA
E06000040,Windsor and Maidenhead,2005.1949654697382,0.9016646569356209,1.7464816736338553,slow
E06000041,Wokingham,2001.8914420336519,0.9580257632081443,0.28651895529712806,fast
E06000042,Milton Keynes,2003.2309086302248,0.9291447407882654,0.6997367562295356,slow
E06000043,Brighton and Hove,2002.97572899037,0.9337866644765178,0.5783839063352564,fast
E06000044,Portsmouth,2002.3561386437389,0.9208820667871062,0.4791522243015491,fast
E06000045,Southampton,2002.1888453155557,0.9222846627436774,0.47192497194420435,fast
E06000046,Isle of Wight,2002.4777338036226,0.9528279903955806,0.37694587653700534,fast
E06000047,County Durham,2004.2496017409915,0.9531098813574569,0.6257518530856288,slow
E06000049,Cheshire East,2003.647746827209,0.9466117339753594,0.6258011681299732,slow
E06000050,Cheshire West and Chester,2004.2339113656233,0.9473233719664061,0.7415570526487176,slow
E06000051,Shropshire,2003.2057793308961,0.9278582026512825,0.620950057151702,slow
E06000052,Cornwall,2003.6375177613372,0.9631775175365905,0.443368436308747,slow
E06000053,Isles of Scilly,2012.1633978775067,0.9531866915596264,4.256715070374748,slow
E06000054,Wiltshire,2002.5284865220497,0.9404418689040418,0.45045280230873147,fast
E06000055,Bedford,2004.0680021888847,0.9330284376812993,0.851998435895367,slow
E06000056,Central Bedfordshire,2002.8249528764543,0.9206113968557171,0.6199335635888644,fast
E06000057,Northumberland,2003.6069252638342,0.9539617298787755,0.5083392998537654,slow
E06000058,"Bournemouth, Christchurch and Poole",2003.3472031892359,0.9355245237617027,0.6623434988645616,slow
E06000059,Dorset,2002.9678022164449,0.9583865133690983,0.40727028694149137,fast
E06000060,Buckinghamshire,2002.1141015472592,0.9416172146691394,0.39030108409274705,fast
E06000061,North Northamptonshire,2003.9017239692168,0.9354903826748476,0.7458889994532769,slow
E06000062,West Northamptonshire,2003.972248895538,0.9396226265258625,0.7360740674021299,slow
E07000008,Cambridge,NA,NA,NA,NA
E07000009,East Cambridgeshire,2002.8432267010255,0.9271549342434017,0.636268239193504,fast
E07000010,Fenland,2002.8911148927425,0.9184605707820561,0.6319303265858641,fast
E07000011,Huntingdonshire,2001.9119153472416,0.9252111796455746,0.4015579966038554,fast
E07000012,South Cambridgeshire,2001.6801360159513,0.9048128773636697,0.4326764784987094,fast
E07000026,Allerdale,2002.7838652690089,0.9581877119248503,0.3762019687535214,fast
E07000027,Barrow-in-Furness,2002.3026153118738,0.9593967211479633,0.2838961271762681,fast
E07000028,Carlisle,2003.111170021358,0.9341526477679246,0.5412805424718128,fast
E07000029,Copeland,2002.5236852382327,0.9713641885385365,0.2369865056347535,fast
E07000030,Eden,2002.1962885729986,0.9491314862719108,0.33449110879160593,fast
E07000031,South Lakeland,2002.196830520213,0.9741013292571244,0.23776953696366684,fast
E07000032,Amber Valley,2005.104884552107,0.941202169832952,1.01749704521529,slow
E07000033,Bolsover,2006.1881879736839,0.9569044686183118,1.1431075287535495,slow
E07000034,Chesterfield,2004.8872848946714,0.9265050940225295,1.1733866613743724,slow
E07000035,Derbyshire Dales,2004.6682617485524,0.9634132770296648,0.6480320209409237,slow
E07000036,Erewash,2004.9868089768895,0.9444023561446542,0.9394523724791755,slow
E07000037,High Peak,2002.9028768910903,0.9456895405787324,0.48787433454661,fast
E07000038,North East Derbyshire,2004.4833150740787,0.9526747245935483,0.7025393503969231,slow
E07000039,South Derbyshire,2004.6293799757145,0.9375630752744493,0.9342564423133398,slow
E07000040,East Devon,2003.3080630066527,0.9474196830846754,0.49229043854040627,slow
E07000041,Exeter,2004.6167072674791,0.9361602597147853,0.9644781056821449,slow
E07000042,Mid Devon,2002.9600166956773,0.9464055989555176,0.48532508029192956,fast
E07000043,North Devon,2002.9259650987,0.9495017697323606,0.4256217208706314,fast
E07000044,South Hams,2002.7732230348356,0.9523189187153915,0.42168749395150895,fast
E07000045,Teignbridge,2004.015013771976,0.9413322318723419,0.6814721476088712,slow
